datetime,close_spy,close_qqq
2019-08-19 05:00:00,292.33,188.43
2019-08-20 05:00:00,290.09,186.97
2019-08-21 05:00:00,292.45,188.63
2019-08-22 05:00:00,292.36,188.02
2019-08-23 05:00:00,284.85,182.07
2019-08-26 05:00:00,288.0,184.82
2019-08-27 05:00:00,286.87,184.43
2019-08-28 05:00:00,288.89,185.09
2019-08-29 05:00:00,292.58,187.92
2019-08-30 05:00:00,292.45,187.47
2019-09-03 05:00:00,290.74,185.65
2019-09-04 05:00:00,294.04,188.33
2019-09-05 05:00:00,297.82,191.78
2019-09-06 05:00:00,298.05,191.59
2019-09-09 05:00:00,298.2,191.19
2019-09-10 05:00:00,298.13,190.64
2019-09-11 05:00:00,300.25,192.43
2019-09-12 05:00:00,301.29,193.23
2019-09-13 05:00:00,301.09,192.54
2019-09-16 05:00:00,300.16,191.68
2019-09-17 05:00:00,300.92,192.6
2019-09-18 05:00:00,301.1,192.52
2019-09-19 05:00:00,301.08,192.84
2019-09-20 05:00:00,298.28,190.8
2019-09-23 05:00:00,298.21,190.5
2019-09-24 05:00:00,295.87,187.97
2019-09-25 05:00:00,297.62,190.08
2019-09-26 05:00:00,297.0,189.38
2019-09-27 05:00:00,295.4,187.03
2019-09-30 05:00:00,296.77,188.81
2019-10-01 05:00:00,293.24,187.27
2019-10-02 05:00:00,288.06,184.05
2019-10-03 05:00:00,290.42,186.07
2019-10-04 05:00:00,294.35,188.81
2019-10-07 05:00:00,293.08,188.24
2019-10-08 05:00:00,288.53,185.42
2019-10-09 05:00:00,291.27,187.23
2019-10-10 05:00:00,293.24,188.68
2019-10-11 05:00:00,296.28,191.11
2019-10-14 05:00:00,295.95,191.09
2019-10-15 05:00:00,298.88,193.52
2019-10-16 05:00:00,298.4,193.04
2019-10-17 05:00:00,299.28,193.55
2019-10-18 05:00:00,297.97,191.69
2019-10-21 05:00:00,299.99,193.39
2019-10-22 05:00:00,299.01,191.85
2019-10-23 05:00:00,299.88,192.22
2019-10-24 05:00:00,300.37,194.09
2019-10-25 05:00:00,301.6,195.64
2019-10-28 05:00:00,303.3,197.57
2019-10-29 05:00:00,303.21,196.04
2019-10-30 05:00:00,304.14,196.99
2019-10-31 05:00:00,303.33,197.08
2019-11-01 05:00:00,306.14,198.87
2019-11-04 06:00:00,307.37,200.1
2019-11-05 06:00:00,307.03,200.21
2019-11-06 06:00:00,307.1,199.76
2019-11-07 06:00:00,308.18,200.43
2019-11-08 06:00:00,308.94,201.23
2019-11-11 06:00:00,308.35,200.96
2019-11-12 06:00:00,309.0,201.54
2019-11-13 06:00:00,309.1,201.59
2019-11-14 06:00:00,309.55,201.43
2019-11-15 06:00:00,311.79,202.91
2019-11-18 06:00:00,312.02,203.07
2019-11-19 06:00:00,311.93,203.37
2019-11-20 06:00:00,310.77,202.15
2019-11-21 06:00:00,310.27,201.7
2019-11-22 06:00:00,310.96,201.83
2019-11-25 06:00:00,313.37,204.22
2019-11-26 06:00:00,314.08,204.61
2019-11-27 06:00:00,315.48,206.04
2019-11-29 06:00:00,314.31,205.1
2019-12-02 06:00:00,311.64,203.0
2019-12-03 06:00:00,309.55,201.41
2019-12-04 06:00:00,311.46,202.43
2019-12-05 06:00:00,312.02,202.83
2019-12-06 06:00:00,314.87,205.0
2019-12-09 06:00:00,313.88,204.07
2019-12-10 06:00:00,313.53,203.9
2019-12-11 06:00:00,314.42,204.98
2019-12-12 06:00:00,317.13,206.51
2019-12-13 06:00:00,317.32,207.19
2019-12-16 06:00:00,319.5,209.27
2019-12-17 06:00:00,319.57,209.39
2019-12-18 06:00:00,319.59,209.55
2019-12-19 06:00:00,320.9,210.86
2019-12-20 06:00:00,320.73,211.71
2019-12-23 06:00:00,321.22,211.81
2019-12-24 06:00:00,321.23,211.92
2019-12-26 06:00:00,322.94,213.79
2019-12-27 06:00:00,322.86,213.61
2019-12-30 06:00:00,321.08,212.21
2019-12-31 06:00:00,321.86,212.61
2020-01-02 06:00:00,324.87,216.16
2020-01-03 06:00:00,322.41,214.18
2020-01-06 06:00:00,323.64,215.56
2020-01-07 06:00:00,322.73,215.53
2020-01-08 06:00:00,324.45,217.15
2020-01-09 06:00:00,326.65,218.99
2020-01-10 06:00:00,325.71,218.43
2020-01-13 06:00:00,327.95,220.95
2020-01-14 06:00:00,327.45,220.08
2020-01-15 06:00:00,328.19,220.17
2020-01-16 06:00:00,330.92,222.28
2020-01-17 06:00:00,331.95,223.38
2020-01-21 06:00:00,331.3,223.28
2020-01-22 06:00:00,331.34,223.87
2020-01-23 06:00:00,331.72,224.59
2020-01-24 06:00:00,328.77,222.7
2020-01-27 06:00:00,323.5,218.1
2020-01-28 06:00:00,326.89,221.45
2020-01-29 06:00:00,326.62,221.81
2020-01-30 06:00:00,327.68,222.6
2020-01-31 06:00:00,321.73,219.07
2020-02-03 06:00:00,324.12,222.38
2020-02-04 06:00:00,329.06,227.47
2020-02-05 06:00:00,332.86,228.22
2020-02-06 06:00:00,333.98,230.19
2020-02-07 06:00:00,332.2,229.2
2020-02-10 06:00:00,334.68,231.97
2020-02-11 06:00:00,335.26,232.01
2020-02-12 06:00:00,337.42,234.27
2020-02-13 06:00:00,337.06,233.97
2020-02-14 06:00:00,337.6,234.64
2020-02-18 06:00:00,336.73,234.73
2020-02-19 06:00:00,338.34,236.98
2020-02-20 06:00:00,336.95,234.78
2020-02-21 06:00:00,333.48,230.27
2020-02-24 06:00:00,322.42,221.39
2020-02-25 06:00:00,312.65,215.37
2020-02-26 06:00:00,311.5,216.48
2020-02-27 06:00:00,297.51,205.64
2020-02-28 06:00:00,296.26,205.8
2020-03-02 06:00:00,309.09,216.42
2020-03-03 06:00:00,300.24,209.48
2020-03-04 06:00:00,312.86,218.22
2020-03-05 06:00:00,302.46,211.59
2020-03-06 06:00:00,297.46,208.02
2020-03-09 05:00:00,274.23,193.57
2020-03-10 05:00:00,288.42,204.11
2020-03-11 05:00:00,274.36,195.22
2020-03-12 05:00:00,248.11,177.32
2020-03-13 05:00:00,269.32,192.34
2020-03-16 05:00:00,239.85,169.3
2020-03-17 05:00:00,252.8,182.14
2020-03-18 05:00:00,240.0,176.6
2020-03-19 05:00:00,240.51,177.66
2020-03-20 05:00:00,228.8,170.7
2020-03-23 05:00:00,222.95,170.46
2020-03-24 05:00:00,243.15,183.66
2020-03-25 05:00:00,246.79,182.3
2020-03-26 05:00:00,261.2,191.9
2020-03-27 05:00:00,253.42,185.3
2020-03-30 05:00:00,261.65,192.04
2020-03-31 05:00:00,257.75,190.4
2020-04-01 05:00:00,246.15,182.31
2020-04-02 05:00:00,251.83,186.01
2020-04-03 05:00:00,248.19,183.37
2020-04-06 05:00:00,264.86,196.48
2020-04-07 05:00:00,265.13,196.4
2020-04-08 05:00:00,274.03,200.57
2020-04-09 05:00:00,278.2,200.86
2020-04-13 05:00:00,275.66,203.03
2020-04-14 05:00:00,283.79,211.86
2020-04-15 05:00:00,277.76,209.43
2020-04-16 05:00:00,279.1,213.25
2020-04-17 05:00:00,286.64,215.29
2020-04-20 05:00:00,281.59,212.74
2020-04-21 05:00:00,273.04,204.89
2020-04-22 05:00:00,279.1,210.97
2020-04-23 05:00:00,279.08,210.52
2020-04-24 05:00:00,282.97,213.84
2020-04-27 05:00:00,287.05,215.56
2020-04-28 05:00:00,285.73,211.5
2020-04-29 05:00:00,293.21,219.0
2020-04-30 05:00:00,290.48,218.91
2020-05-01 05:00:00,282.79,212.74
2020-05-04 05:00:00,283.57,215.22
2020-05-05 05:00:00,286.19,217.66
